Year,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos,Awards,player_id
2014.0,21,BOS,AL,52,213,189,34,55,12,1,5,18,7,3,21,31,0.29100000000000004,0.368,0.444,0.812,126.0,84,2,2,1,0,0,849,,bettsmo01
2015.0,22,BOS,AL,145,654,597,92,174,42,8,18,77,21,6,46,82,0.29100000000000004,0.341,0.479,0.82,117.0,286,2,2,3,6,1,*89/D,MVP-19,bettsmo01
2016.0,23,BOS,AL,158,730,672,122,214,42,5,31,113,26,4,49,80,0.318,0.363,0.534,0.897,133.0,359,12,2,0,7,1,*9,"AS,MVP-2,GG,SS",bettsmo01
2017.0,24,BOS,AL,153,712,628,101,166,46,2,24,102,26,3,77,79,0.264,0.344,0.45899999999999996,0.8029999999999999,108.0,288,9,2,0,5,9,*9,"AS,MVP-6,GG",bettsmo01
2018.0,25,BOS,AL,136,614,520,129,180,47,5,32,80,30,6,81,91,0.34600000000000003,0.43799999999999994,0.64,1.078,186.0,333,5,8,0,5,8,*98/D4,"AS,MVP-1,GG,SS",bettsmo01
