Year,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos,Awards,player_id
2011.0,21,HOU,NL,57.0,234.0,221.0,26.0,61.0,10.0,1.0,2.0,12.0,7.0,3.0,5.0,29.0,0.276,0.297,0.35700000000000004,0.654,81.0,79.0,5.0,2.0,5.0,1.0,0.0,4,,altuvjo01
2012.0,22,HOU,NL,147.0,630.0,576.0,80.0,167.0,34.0,4.0,7.0,37.0,33.0,11.0,40.0,74.0,0.29,0.34,0.39899999999999997,0.74,101.0,230.0,8.0,6.0,4.0,4.0,0.0,*4,AS,altuvjo01
2013.0,23,HOU,AL,152.0,672.0,626.0,64.0,177.0,31.0,2.0,5.0,52.0,35.0,13.0,32.0,85.0,0.28300000000000003,0.316,0.363,0.6779999999999999,89.0,227.0,24.0,2.0,4.0,8.0,5.0,*4/D,,altuvjo01
2014.0,24,HOU,AL,158.0,707.0,660.0,85.0,225.0,47.0,3.0,7.0,59.0,56.0,9.0,36.0,53.0,0.341,0.377,0.45299999999999996,0.83,135.0,299.0,20.0,5.0,1.0,5.0,7.0,*4/D,"AS,MVP-13,SS",altuvjo01
2015.0,25,HOU,AL,154.0,689.0,638.0,86.0,200.0,40.0,4.0,15.0,66.0,38.0,13.0,33.0,67.0,0.313,0.353,0.45899999999999996,0.812,125.0,293.0,17.0,9.0,3.0,6.0,8.0,*4/D,"AS,MVP-10,GG,SS",altuvjo01
2016.0,26,HOU,AL,161.0,717.0,640.0,108.0,216.0,42.0,5.0,24.0,96.0,30.0,10.0,60.0,70.0,0.33799999999999997,0.396,0.531,0.9279999999999999,155.0,340.0,15.0,7.0,3.0,7.0,11.0,*4D/6,"AS,MVP-3,SS",altuvjo01
2017.0,27,HOU,AL,153.0,662.0,590.0,112.0,204.0,39.0,4.0,24.0,81.0,32.0,6.0,58.0,84.0,0.34600000000000003,0.41,0.547,0.9570000000000001,160.0,323.0,19.0,9.0,1.0,4.0,3.0,*4/D,"AS,MVP-1,SS",altuvjo01
2018.0,28,HOU,AL,137.0,599.0,534.0,84.0,169.0,29.0,2.0,13.0,61.0,17.0,4.0,55.0,79.0,0.316,0.386,0.451,0.8370000000000001,133.0,241.0,17.0,6.0,3.0,1.0,4.0,*4/D,"AS,MVP-13,SS",altuvjo01
