Year,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos,Awards,player_id
2010.0,24,OAK,AL,14.0,34.0,32.0,1.0,5.0,1.0,0.0,1.0,4.0,0.0,0.0,2.0,12.0,0.156,0.20600000000000002,0.281,0.48700000000000004,32.0,9.0,0.0,0.0,0.0,0.0,0.0,/2D3,,donaljo02
2012.0,26,OAK,AL,75.0,294.0,274.0,34.0,66.0,16.0,0.0,9.0,33.0,4.0,1.0,14.0,61.0,0.24100000000000002,0.289,0.39799999999999996,0.687,91.0,109.0,6.0,5.0,0.0,1.0,0.0,5/23,,donaljo02
2013.0,27,OAK,AL,158.0,668.0,579.0,89.0,174.0,37.0,3.0,24.0,93.0,5.0,2.0,76.0,110.0,0.301,0.384,0.499,0.883,145.0,289.0,15.0,6.0,1.0,6.0,2.0,*5/D36,MVP-4,donaljo02
2014.0,28,OAK,AL,158.0,695.0,608.0,93.0,155.0,31.0,2.0,29.0,98.0,8.0,0.0,76.0,130.0,0.255,0.342,0.456,0.7979999999999999,127.0,277.0,16.0,7.0,0.0,4.0,5.0,*5/D,"AS,MVP-8",donaljo02
2015.0,29,TOR,AL,158.0,711.0,620.0,122.0,184.0,41.0,2.0,41.0,123.0,6.0,0.0,73.0,133.0,0.297,0.371,0.568,0.9390000000000001,151.0,352.0,16.0,6.0,2.0,10.0,0.0,*5/D,"AS,MVP-1,SS",donaljo02
2016.0,30,TOR,AL,155.0,700.0,577.0,122.0,164.0,32.0,5.0,37.0,99.0,7.0,1.0,109.0,119.0,0.284,0.40399999999999997,0.5489999999999999,0.953,153.0,317.0,16.0,9.0,2.0,3.0,6.0,*5D,"AS,MVP-4,SS",donaljo02
2017.0,31,TOR,AL,113.0,496.0,415.0,65.0,112.0,21.0,0.0,33.0,78.0,2.0,2.0,76.0,111.0,0.27,0.385,0.5589999999999999,0.9440000000000001,148.0,232.0,5.0,3.0,0.0,2.0,1.0,5/D6,MVP-22,donaljo02
2018.0,32,TOT,AL,52.0,219.0,187.0,30.0,46.0,14.0,0.0,8.0,23.0,2.0,0.0,31.0,54.0,0.28,0.4,0.52,0.92,146.0,84.0,3.0,0.0,0.0,1.0,2.0,5D/3,,donaljo02
