Year,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos,Awards,player_id
2012.0,19,WSN,NL,139,597,533,98,144,26,9,22,59,18,6,56,120,0.27,0.34,0.47700000000000004,0.8170000000000001,118.0,254,8,2,3,3,0,*89/7,"AS,MVP-30,RoY-1",harpebr03
2013.0,20,WSN,NL,118,497,424,71,116,24,3,20,58,11,4,61,94,0.27399999999999997,0.368,0.486,0.8540000000000001,133.0,206,4,5,3,4,4,*79/8,AS,harpebr03
2014.0,21,WSN,NL,100,395,352,41,96,10,2,13,32,2,2,38,104,0.273,0.344,0.423,0.768,111.0,149,6,1,3,1,4,79/8,,harpebr03
2015.0,22,WSN,NL,153,654,521,118,172,38,1,42,99,6,4,124,131,0.33,0.46,0.649,1.109,198.0,338,15,5,0,4,15,*98/D,"AS,MVP-1,SS",harpebr03
2016.0,23,WSN,NL,147,627,506,84,123,24,2,24,86,21,10,108,117,0.243,0.373,0.441,0.8140000000000001,114.0,223,11,3,0,10,20,*9,AS,harpebr03
2017.0,24,WSN,NL,111,492,420,95,134,27,1,29,87,4,2,68,99,0.319,0.413,0.595,1.008,156.0,250,15,1,0,3,11,*9,"AS,MVP-12",harpebr03
2018.0,25,WSN,NL,159,695,550,103,137,34,0,34,100,13,3,130,169,0.249,0.39299999999999996,0.496,0.889,133.0,273,7,6,0,9,16,*98/3D,AS,harpebr03
